1D5R	20243	30.99987909
1D5R	20319	61.99975881
1D5R	23412	1.499995651
1D5R	24304	21.0000341
1D5R	25219	10.99993199
1D5R	26031	61.99975881
1D5R	27932	14.00006332
1D5R	31864	14.99995651
1D5R	31865	109.9993199
1D5R	32600	3.59997927
1D5R	32646	100
1D5R	34528	53.00050406
1D5R	34566	3.20000016
1D5R	34737	10
1D5R	34742	10.99993199
1D5R	44337	49.9999995
1D5R	47288	14.00006332
1D5R	47304	50.99997932
1DIY	20069	10.99993199
1DIY	20154	42.00006862
1DIY	20220	17.00004222
1DIY	20283	4.700023182
1DIY	20350	21.9998642
1DIY	20510	38.99958629
1DIY	20654	11.99996557
1DIY	20699	5.199959965
1DIY	20710	2.49999995
1DIY	20807	21.9998642
1DIY	20811	4.499973953
1DIY	20822	2.19998642
1DIY	20863	2.19998642
1DIY	20894	28.00012692
1DIY	20943	30.99987909
1DIY	21097	28.00012692
1DIY	21151	12.99989965
1DIY	21201	12.99989965
1DIY	21237	58.99972671
1DIY	21238	44.99973953
1DIY	21244	29.99991333
1DIY	21395	46.00022967
1DIY	22370	35.00015761
1DIY	22519	18.99984246
1DIY	22588	1.700004222
1DIY	22959	26.99976598
1DIY	23556	18.99984246
1DIY	23652	2.30001146
1DIY	23845	23.0001146
1DIY	24460	9.499921136
1DIY	24538	3.20000016
1DIY	24869	3.699985312
1DIY	24930	43.99972884
1DIY	25219	23.99993138
1DIY	26076	32.99970063
1DIY	26132	210.000341
1DIY	26525	54.9996594
1DIY	26726	28.00012692
1DIY	26728	28.00012692
1DIY	27034	92.00046025
1DIY	27923	79.00052911
1DIY	27932	20.0000002
1DIY	47251	50.99997932
1DIY	47291	32.0000016
1DIY	47310	35.9997927
1DIY	47320	73.99970697
1DIY	47369	75.99937137
1DIY	47389	32.99970063
1DIY	47592	25.99979957
1DIY	47598	12.99989965
1FVR	20794	10
1FVR	23412	17.99989617
1FVR	23892	40.9996359
1FVR	25219	8.999947996
1FVR	26031	30.99987909
1FVR	27932	14.99995651
1FVR	31863	21.0000341
1FVR	31864	4.600022967
1FVR	31865	32.0000016
1FVR	34695	12.99989965
1FVR	34737	23.0001146
1FVR	47325	129.9989965
1HJ1	20154	50.99997932
1HJ1	20209	56.99936271
1HJ1	21125	1
1HJ1	21209	54.9996594
1HJ1	22360	32.99970063
1HJ1	22536	16.00000064
1HJ1	29055	32.99970063
1HJ1	30698	11.99996557
1HJ1	40713	65.99940192
