NVS_ENZ_hAKT1_Activator	23846	-3.13
NVS_ENZ_hAKT1_Activator	24151	-1.31
NVS_ENZ_hAKT1_Activator	26261	-2.49
NVS_ENZ_hAKT1_Activator	26602	-4.11
NVS_ENZ_hAKT1_Activator	31862	-4.1
NVS_ENZ_hAKT1_Activator	32601	-3.28
NVS_ENZ_hAKT1_Activator	32613	-3.27
NVS_ENZ_hAKT1_Activator	40363	-3.3
NVS_ENZ_hAKT1_Activator	47339	-3.64
NVS_ENZ_hMMP13	20336	10000
NVS_ENZ_hMMP13	20666	10000
NVS_ENZ_hMMP13	20716	10000
NVS_ENZ_hMMP13	20894	10000
NVS_ENZ_hMMP13	23846	10000
NVS_ENZ_hMMP13	24151	10000
NVS_ENZ_hMMP13	26261	10000
NVS_ENZ_hMMP13	26602	10000
NVS_ENZ_hMMP13	31862	10000
NVS_ENZ_hMMP13	32601	10000
NVS_ENZ_hMMP13	32613	10000
NVS_ENZ_hMMP13	40363	10000
NVS_ENZ_hMMP13	47339	10000
NVS_ENZ_hMMP13_Activator	20336	10000
NVS_ENZ_hMMP13_Activator	20666	10000
NVS_ENZ_hMMP13_Activator	20716	10000
NVS_ENZ_hMMP13_Activator	20894	10000
NVS_ENZ_hMMP13_Activator	23846	10000
NVS_ENZ_hMMP13_Activator	24151	10000
NVS_ENZ_hMMP13_Activator	26261	10000
NVS_ENZ_hMMP13_Activator	26602	10000
NVS_ENZ_hMMP13_Activator	31862	10000
NVS_ENZ_hMMP13_Activator	32601	10000
NVS_ENZ_hMMP13_Activator	32613	10000
NVS_ENZ_hMMP13_Activator	40363	10000
NVS_ENZ_hMMP13_Activator	47339	10000
NVS_ENZ_hPDE5	20336	1.49
NVS_ENZ_hPDE5	20666	1.02
NVS_ENZ_hPDE5	20716	0.89
NVS_ENZ_hPDE5	20894	0.55
NVS_ENZ_hPDE5	23846	2.07
NVS_ENZ_hPDE5	24151	2.08
NVS_ENZ_hPDE5	26261	0.59
NVS_ENZ_hPDE5	26602	1.49
NVS_ENZ_hPDE5	31862	0.72
NVS_ENZ_hPDE5	32601	1.57
NVS_ENZ_hPDE5	32613	1.62
NVS_ENZ_hPDE5	40363	2.63
NVS_ENZ_hPDE5	47339	1.74
NVS_ENZ_hPDE5_Activator	20336	1.49
NVS_ENZ_hPDE5_Activator	20666	1.02
NVS_ENZ_hPDE5_Activator	20716	0.89
NVS_ENZ_hPDE5_Activator	20894	0.55
NVS_ENZ_hPDE5_Activator	23846	2.07
NVS_ENZ_hPDE5_Activator	24151	2.08
NVS_ENZ_hPDE5_Activator	26261	0.59
NVS_ENZ_hPDE5_Activator	26602	1.49
NVS_ENZ_hPDE5_Activator	31862	0.72
NVS_ENZ_hPDE5_Activator	32601	1.57
NVS_ENZ_hPDE5_Activator	32613	1.62
NVS_ENZ_hPDE5_Activator	40363	2.63
NVS_ENZ_hPDE5_Activator	47339	1.74
NVS_ENZ_hFyn	20336	1.49
NVS_ENZ_hFyn	20666	0.96
NVS_ENZ_hFyn	20716	0.89
NVS_ENZ_hFyn	20894	0.44
NVS_ENZ_hFyn	23846	2.09
NVS_ENZ_hFyn	24151	2.09
NVS_ENZ_hFyn	26261	0.6
NVS_ENZ_hFyn	26602	1.49
NVS_ENZ_hFyn	31862	0.66
NVS_ENZ_hFyn	32601	1.69
NVS_ENZ_hFyn	32613	1.56
NVS_ENZ_hFyn	40363	2.52
NVS_ENZ_hFyn	47339	1.63
NVS_ENZ_hFyn_Activator	20336	1.49
NVS_ENZ_hFyn_Activator	20666	0.96
NVS_ENZ_hFyn_Activator	20716	0.89
NVS_ENZ_hFyn_Activator	20894	0.44
NVS_ENZ_hFyn_Activator	23846	2.09
NVS_ENZ_hFyn_Activator	24151	2.09
NVS_ENZ_hFyn_Activator	26261	0.6
NVS_ENZ_hFyn_Activator	26602	1.49
NVS_ENZ_hFyn_Activator	31862	0.66
NVS_ENZ_hFyn_Activator	32601	1.69
NVS_ENZ_hFyn_Activator	32613	1.56
NVS_ENZ_hFyn_Activator	40363	2.52
NVS_ENZ_hFyn_Activator	47339	1.63
NVS_ENZ_hElastase	20336	-0.14
NVS_ENZ_hElastase	20666	0.4
NVS_ENZ_hElastase	20716	-0.84
NVS_ENZ_hElastase	20894	0.72
NVS_ENZ_hElastase	23846	0.64
NVS_ENZ_hElastase	24151	0.74
NVS_ENZ_hElastase	26261	-0.44
NVS_ENZ_hElastase	26602	-0.36
NVS_ENZ_hElastase	31862	0.06
NVS_ENZ_hElastase	32601	-0.63
NVS_ENZ_hElastase	32613	0.91
NVS_ENZ_hElastase	40363	2.2
NVS_ENZ_hElastase	47339	1.47
NVS_ENZ_hElastase_Activator	20336	-0.14
NVS_ENZ_hElastase_Activator	20666	0.4
NVS_ENZ_hElastase_Activator	20716	-0.84
NVS_ENZ_hElastase_Activator	20894	0.72
NVS_ENZ_hElastase_Activator	23846	0.64
NVS_ENZ_hElastase_Activator	24151	0.74
NVS_ENZ_hElastase_Activator	26261	-0.44
NVS_ENZ_hElastase_Activator	26602	-0.36
NVS_ENZ_hElastase_Activator	31862	0.06
NVS_ENZ_hElastase_Activator	32601	-0.63
NVS_ENZ_hElastase_Activator	32613	0.91
NVS_ENZ_hElastase_Activator	40363	2.2
NVS_ENZ_hElastase_Activator	47339	1.47
NVS_ENZ_hSRC	20336	9.95
NVS_ENZ_hSRC	20666	-3.39
NVS_ENZ_hSRC	20716	12.58
NVS_ENZ_hSRC	20894	-2.76
NVS_ENZ_hSRC	23846	-4.85
NVS_ENZ_hSRC	24151	-3.39
NVS_ENZ_hSRC	26261	-4.12
NVS_ENZ_hSRC	26602	5.47
NVS_ENZ_hSRC	31862	-3.53
NVS_ENZ_hSRC	32601	-1.75
NVS_ENZ_hSRC	32613	35.75
NVS_ENZ_hSRC	40363	36.95
NVS_ENZ_hSRC	47339	63.33
NVS_ENZ_hSRC_Activator	20336	9.95
NVS_ENZ_hSRC_Activator	20666	-3.39
NVS_ENZ_hSRC_Activator	20716	12.58
NVS_ENZ_hSRC_Activator	20894	-2.76
NVS_ENZ_hSRC_Activator	23846	-4.85
NVS_ENZ_hSRC_Activator	24151	-3.39
NVS_ENZ_hSRC_Activator	26261	-4.12
NVS_ENZ_hSRC_Activator	26602	5.47
NVS_ENZ_hSRC_Activator	31862	-3.53
NVS_ENZ_hSRC_Activator	32601	-1.75
NVS_ENZ_hSRC_Activator	32613	35.75
NVS_ENZ_hSRC_Activator	40363	36.95
NVS_ENZ_hSRC_Activator	47339	63.33
NVS_LGIC_rAMPA	20336	1.49
NVS_LGIC_rAMPA	20666	0.86
NVS_LGIC_rAMPA	20716	0.89
NVS_LGIC_rAMPA	20894	0.23
NVS_LGIC_rAMPA	23846	2.09
NVS_LGIC_rAMPA	24151	2.09
NVS_LGIC_rAMPA	26261	0.6
NVS_LGIC_rAMPA	26602	1.49
NVS_LGIC_rAMPA	31862	0.56
NVS_LGIC_rAMPA	32601	1.82
NVS_LGIC_rAMPA	32613	1.46
NVS_LGIC_rAMPA	40363	2.32
NVS_LGIC_rAMPA	47339	1.43
NVS_ENZ_hFGFR1	20336	-3.52
NVS_ENZ_hFGFR1	20666	-2.74
NVS_ENZ_hFGFR1	20716	-4.79
NVS_ENZ_hFGFR1	20894	-3.11
NVS_ENZ_hFGFR1	23846	-3.69
NVS_ENZ_hFGFR1	24151	-2.44
NVS_ENZ_hFGFR1	26261	-3.53
NVS_ENZ_hFGFR1	26602	-4.81
NVS_ENZ_hFGFR1	31862	-4.77
NVS_ENZ_hFGFR1	32601	-4.71
NVS_ENZ_hFGFR1	32613	-4.55
NVS_ENZ_hFGFR1	40363	-3.13
NVS_ENZ_hFGFR1	47339	-3.87
NVS_ENZ_hFGFR1_Activator	20336	-3.52
NVS_ENZ_hFGFR1_Activator	20666	-2.74
NVS_ENZ_hFGFR1_Activator	20716	-4.79
NVS_ENZ_hFGFR1_Activator	20894	-3.11
NVS_ENZ_hFGFR1_Activator	23846	-3.69
NVS_ENZ_hFGFR1_Activator	24151	-2.44
NVS_ENZ_hFGFR1_Activator	26261	-3.53
NVS_ENZ_hFGFR1_Activator	26602	-4.81
NVS_ENZ_hFGFR1_Activator	31862	-4.77
NVS_ENZ_hFGFR1_Activator	32601	-4.71
NVS_ENZ_hFGFR1_Activator	32613	-4.55
NVS_ENZ_hFGFR1_Activator	40363	-3.13
NVS_ENZ_hFGFR1_Activator	47339	-3.87
