AC50sfolderlocation	C:\Novascreen\Supplemental
C:\Novascreen\Supplemental	Data\miniSOPs\
MiniSOPsfolderlocation	C:\Novascreen\Supplemental
NVS_ADME_hCYP19A1_Activator	CYPC19(h)
NVS_ADME_hCYP19A1	CYPC19(h)
NVS_ADME_hCYP1A1_Activator	CYP1A1(h)
NVS_ADME_hCYP1A1	CYP1A1(h)
NVS_ADME_hCYP1A2_Activator	CYP1A2(h)
NVS_ADME_hCYP1A2	CYP1A2(h)
NVS_ADME_hCYP2A6_Activator	CYP2A6(h)
NVS_ADME_hCYP2A6	CYP2A6(h)
NVS_ADME_hCYP2B6_Activator	CYP2B6(h)
NVS_ADME_hCYP2B6	CYP2B6(h)
NVS_ADME_hCYP2C19_Activator	CYP2C19(h)
NVS_ADME_hCYP2C19	CYP2C19(h)
NVS_ADME_hCYP2C9_Activator	CYP2C9(h)
NVS_ADME_hCYP2C9	CYP2C9(h)
NVS_ADME_hCYP2D6_Activator	CYP2D6(h)
NVS_ADME_hCYP2D6	CYP2D6(h)
NVS_ADME_hCYP3A4_Activator	CYP3A4(h)
NVS_ADME_hCYP3A4	CYP3A4(h)
NVS_ADME_hCYP4F12_Activator	CYP4F12(h)
NVS_ADME_hCYP4F12	CYP4F12(h)
NVS_ENZ_hAChE	Achase_HR
NVS_ENZ_hAChE_Activator	Achase_HR
NVS_ENZ_hACP1_Activator	LMPTP-A
NVS_ENZ_hACP1	LMPTP-A
NVS_ENZ_hAKT1_Activator	KIN-PKBa
NVS_ENZ_hAKT1	KIN-PKBa
NVS_ENZ_hAKT2_Activator	KIN-PKBb
NVS_ENZ_hAKT2	KIN-PKBb
NVS_ENZ_hAMPKa1_Activator	AMPKa1b1g1
NVS_ENZ_hAMPKa1	AMPKa1b1g1
NVS_ENZ_hAurA_Activator	KIN-AurA
NVS_ENZ_hAurA	KIN-AurA
NVS_ENZ_hBACE_Activator	BETA-SECRETASE
NVS_ENZ_hBACE	BETA-SECRETASE
NVS_ENZ_hCASP10_Activator	Caspase10
NVS_ENZ_hCASP10	Caspase10
NVS_ENZ_hCASP1_Activator	Caspase1
NVS_ENZ_hCASP1	Caspase1
NVS_ENZ_hCASP2_Activator	Caspase2
NVS_ENZ_hCASP2	Caspase2
NVS_ENZ_hCASP3_Activator	Caspase3
NVS_ENZ_hCASP3	Caspase3
NVS_ENZ_hCASP4_Activator	Caspase4
NVS_ENZ_hCASP4	Caspase4
NVS_ENZ_hCASP5_Activator	Caspase5
NVS_ENZ_hCASP5	Caspase5
NVS_ENZ_hCASP8_Activator	Caspase8
NVS_ENZ_hCASP8	Caspase8
NVS_ENZ_hCDK2_Activator	CDK2_cycA
